timestamps,TP9,AF7,AF8,TP10,Right AUX
1786901611.900,-346.680,-193.848,0.000,288.086,0.000
1786901611.904,-160.156,40.039,0.000,279.297,0.000
1786901611.908,392.578,-42.480,0.000,-88.379,0.000
1786901611.912,299.805,-269.043,0.000,-166.992,0.000
1786901611.916,-283.203,-249.512,0.000,193.848,0.000
1786901611.920,-326.172,17.090,0.000,326.172,0.000
1786901611.924,263.184,73.242,0.000,6.348,0.000
1786901611.928,418.945,-188.477,0.000,-188.477,0.000
1786901611.931,-175.781,-170.410,0.000,79.102,0.000
1786901611.936,-413.086,39.551,-233.398,359.863,0.000
1786901611.939,141.602,-34.180,-317.871,135.742,0.000
1786901611.943,484.375,-131.348,-414.062,-218.262,0.000
1786901611.947,11.230,-79.590,-321.289,-41.016,0.000
1786901611.951,-373.047,-39.551,-272.461,350.098,0.000
1786901611.955,6.836,-115.234,-354.004,276.367,0.000
1786901611.959,500.488,-349.609,-542.480,-79.102,0.000
1786901611.963,195.312,-237.305,-455.078,-125.977,0.000
1786901611.967,-390.625,31.738,-236.816,215.332,0.000
1786901611.970,-206.543,-39.062,-270.508,330.078,0.000
1786901611.974,409.180,-163.086,-382.324,-54.199,0.000
1786901611.978,359.375,-129.395,-348.145,-249.512,0.000
1786901611.982,-256.348,-2.930,-185.547,91.797,0.000
1786901611.986,-305.664,-103.516,-272.949,337.891,0.000
1786901611.990,286.133,-159.180,-367.188,-12.695,0.000
1786901611.994,492.188,-41.504,-224.121,-326.172,0.000
1786901611.998,-53.223,-41.504,-209.961,-47.363,0.000
1786901612.002,-357.910,-256.348,-400.391,341.309,0.000
1786901612.006,104.004,-283.691,-432.617,133.301,0.000
1786901612.010,488.770,-21.973,-213.867,-318.359,0.000
1786901612.013,109.863,-20.996,-120.117,-176.270,0.000
1786901612.017,-338.867,-236.328,-260.742,283.691,0.000
1786901612.021,-36.133,-175.293,-218.750,223.145,0.000
1786901612.025,502.930,17.090,29.297,-230.957,0.000
1786901612.029,311.523,-73.730,-12.695,-225.586,0.000
1786901612.033,-269.043,-209.961,-181.152,216.309,0.000
1786901612.037,-191.406,-119.141,-109.863,302.734,0.000
1786901612.041,427.246,15.625,83.984,-109.863,0.000
1786901612.045,482.910,-105.469,-42.969,-281.250,0.000
1786901612.049,-102.539,-235.840,-229.004,113.770,0.000
1786901612.053,-259.277,-175.781,-273.926,386.230,0.000
1786901612.056,292.969,-95.215,-264.648,62.500,0.000
1786901612.060,559.570,-107.910,-298.828,-267.090,0.000
1786901612.064,32.227,-166.992,-317.871,-22.949,0.000
1786901612.068,-325.684,-42.480,-188.965,326.172,0.000
1786901612.072,138.672,27.832,-147.461,164.062,0.000
1786901612.076,0.000,-151.367,-346.191,-200.195,0.000
